Plant,Location,Q,ZN,PH,DBO,DQO,SS,SSV,SED,COND
D-9/10/90,E,45903,1.30,8.0,90,271,144,66.7,4.5,1221
D-10/10/90,E,44343,1.25,8.0,169,327,126,68.3,2.5,1940
D-12/10/90,E,39343,4.80,8.0,140,555,282,45.4,6.5,850
D-14/10/90,E,34347,0.80,7.9,155,243,210,47.6,2.5,848
D-15/10/90,E,53012,3.50,8.2,157,361,208,51.0,5.0,1015
D-16/10/90,E,52258,1.50,8.4,195,246,172,60.5,3.5,1631
D-17/10/90,E,49493,3.70,8.1,102,269,156,52.6,2.5,1082
D-18/10/90,E,46200,2.50,8.3,192,294,172,55.8,3.5,1983
D-19/10/90,E,46069,6.00,8.2,185,334,156,60.3,4.0,1987
D-21/10/90,E,44324,1.60,7.8,174,173,134,68.7,2.5,967
D-22/10/90,E,48950,2.50,8.1,109,211,880,13.2,5.5,1745
D-23/10/90,E,60017,3.50,7.9,120,284,518,17.8,4.0,1048
D-24/10/90,E,41569,3.30,7.9,115,357,334,33.5,3.5,1760
D-25/10/90,E,40915,2.00,8.0,244,,194,50.5,3.2,1885
D-26/10/90,E,44858,1.41,8.1,380,318,194,55.7,2.7,1970
D-28/10/90,E,47576,5.97,8.1,,188,128,67.2,2.0,1465
D-29/10/90,E,47501,1.00,8.2,,384,180,64.4,3.5,1567
D-30/10/90,E,47506,0.50,8.0,,307,196,60.2,4.0,1557
D-1/3/91,E,26343,2.07,7.7,275,553,528,43.9,7.0,1105
D-3/3/91,E,32884,0.80,7.8,169,337,132,75.8,2.5,1568
D-4/3/91,E,40745,1.50,7.7,156,547,166,66.3,6.0,1667
D-5/3/91,E,39804,4.85,7.9,209,416,196,68.4,5.0,1711
D-6/3/91,E,45804,2.20,7.9,170,380,146,79.5,4.5,1949
D-7/3/91,E,42289,3.30,7.7,150,289,182,73.6,2.5,1698
D-8/3/91,E,44548,1.40,7.9,218,272,216,40.7,,1360
D-10/3/91,E,36792,0.70,7.9,168,303,148,66.2,2.5,1069
D-11/3/91,E,36410,1.60,8.0,173,396,242,57.0,6.8,1879
D-12/3/91,E,33988,2.50,7.8,161,391,148,73.0,4.5,1551
D-13/3/91,E,36479,3.80,8.1,192,422,176,68.2,4.5,2080
D-14/3/91,E,31592,4.70,8.0,217,549,248,67.7,7.0,1370
D-15/3/91,E,31789,2.10,7.9,215,549,234,71.8,5.5,2370
D-17/3/91,E,27968,1.60,8.0,202,471,242,63.6,5.5,1158
D-18/3/91,E,30853,1.24,8.0,179,455,168,70.2,4.3,1410
D-19/3/91,E,29815,0.98,8.0,224,400,160,68.8,4.5,2230
D-20/3/91,E,32578,2.50,7.8,223,443,184,69.6,4.0,1553
D-21/3/91,E,33784,1.00,7.9,166,392,186,64.5,7.5,2510
D-22/3/91,E,33029,3.40,7.9,226,624,264,75.0,,2150
D-24/3/91,E,48657,1.70,7.7,72,180,122,49.2,2.5,990
D-25/3/91,E,45512,2.60,7.9,89,176,166,36.1,1.2,1059
D-26/3/91,E,44085,4.20,7.4,183,325,228,47.4,3.5,1229
D-27/3/91,E,40578,3.28,7.9,174,,160,67.5,3.1,1433
D-29/3/91,E,34917,8.50,7.5,156,311,226,67.3,,1075
D-31/3/91,E,32217,2.00,7.7,365,370,172,62.8,,928
D-1/2/91,E,38105,1.56,8.4,230,517,218,75.2,5.0,1645
D-3/2/91,E,30701,0.62,8.1,136,447,196,60.2,4.5,1105
D-4/2/91,E,34290,3.03,8.1,194,435,166,72.3,4.0,1770
D-5/2/91,E,35338,3.20,8.0,195,574,166,69.9,4.9,1563
D-6/2/91,E,37120,2.57,8.0,212,546,184,72.8,4.5,2240
D-7/2/91,E,35190,10,8.1,227,812,350,59.4,0.7,1512
D-8/2/91,E,33714,2.65,8.4,228,473,200,74.0,,1542
D-10/2/91,E,29660,1.99,8.0,223,521,208,74.0,5.3,1585
D-11/2/91,E,31749,10.7,8.1,247,525,264,71.2,6.3,1606
D-12/2/91,E,32736,5.30,8.2,257,629,312,71.8,7.5,1823
D-13/2/91,E,34441,8.20,8.1,199,486,240,68.3,9.0,1605
D-14/2/91,E,32888,6.25,8.1,185,401,156,79.5,4.0,1513
D-15/2/91,E,34461,6.20,8.1,222,662,252,68.3,6.5,1734
D-17/2/91,E,34045,1.32,8.0,129,506,178,62.9,4.0,1180
D-18/2/91,E,36421,2.98,8.2,240,507,356,60.7,9.0,1672
D-19/2/91,E,37662,2.60,8.1,238,490,170,70.6,5.0,1652
D-21/2/91,E,29990,7.60,7.9,204,469,212,75.5,5.0,1145
D-22/2/91,E,37561,12.5,7.5,,,196,72.5,,1245
D-24/2/91,E,27340,4.19,7.7,254,411,174,73.6,4.5,1339
D-25/2/91,E,30055,5.70,7.8,230,422,222,71.2,5.0,1733
D-26/2/91,E,31494,2.50,8.0,290,459,228,71.9,7.5,1684
D-27/2/91,E,31765,2.00,7.9,240,887,314,76.4,7.0,2120
D-28/2/91,E,25342,2.00,8.3,275,494,212,78.3,4.5,2070
D-1/1/91,E,32441,0.80,8.1,198,351,134,76.1,2.5,1341
D-2/1/91,E,40740,1.20,8.2,127,444,172,73.3,3.0,1658
D-3/1/91,E,34637,3.50,8.1,231,368,162,76.5,4.0,1854
D-4/1/91,E,34322,3.00,8.4,249,600,216,77.8,5.0,1566
D-6/1/91,E,35111,0.50,7.9,228,461,126,74.6,2.5,1113
D-7/1/91,E,40585,0.80,8.3,230,524,158,70.9,5.0,1178
D-8/1/91,E,37735,1.67,7.9,203,487,168,77.4,3.5,1353
D-9/1/91,E,34277,1.50,8.2,133,531,220,73.6,7.0,1514
D-10/1/91,E,41451,0.50,8.0,131,384,154,74.0,4.5,1260
D-11/1/91,E,45183,0.40,7.8,205,347,142,67.6,,1373
D-13/1/91,E,27415,0.90,7.7,241,332,158,65.8,4.0,1133
D-14/1/91,E,42614,0.35,8.3,113,347,120,71.7,2.5,1385
D-15/1/91,E,48914,0.35,8.1,203,434,128,70.3,4.0,1496
D-16/1/91,E,49174,0.65,7.9,188,434,126,66.7,2.5,2450
D-17/1/91,E,45151,0.50,8.2,166,307,118,79.7,4.0,1697
D-18/1/91,E,37143,0.70,8.2,222,493,162,75.3,5.3,1620
D-20/1/91,E,30244,0.86,7.6,224,337,146,69.9,3.5,1146
D-21/1/91,E,34032,1.00,8.2,223,470,166,72.3,5.5,1343
D-22/1/91,E,34904,1.20,8.0,272,665,188,73.4,6.0,2200
D-23/1/91,E,36063,1.00,8.2,346,350,144,72.2,5.0,1233
D-24/1/91,E,35500,2.70,8.2,148,545,188,76.6,5.3,1329
D-25/1/91,E,37730,0.70,8.0,427,815,204,70.6,,1455
D-27/1/91,E,28209,1.20,7.9,319,532,250,71.2,6.5,1379
D-28/1/91,E,32680,2.60,8.2,334,594,256,67.2,7.0,1380
D-29/1/91,E,32974,2.60,8.1,311,420,208,69.2,6.5,1474
D-30/1/91,E,33189,0.96,8.1,238,591,202,84.2,6.0,1380
D-31/1/91,E,34579,2.50,8.3,261,592,216,71.3,7.5,1663
D-1/5/91,E,46126,1.30,7.5,122,289,114,73.7,2.5,1103
D-2/5/91,E,43445,4.10,7.8,133,295,158,55.7,3.0,1436
D-3/5/91,E,35990,1.70,7.9,142,272,160,56.3,2.0,1543
D-5/5/91,E,36976,0.94,7.9,152,510,136,67.6,3.0,1235
D-6/5/91,E,33085,0.82,7.7,185,518,202,66.3,3.0,2350
D-7/5/91,E,34150,3.10,7.9,228,486,184,69.6,4.5,1912
D-8/5/91,E,60081,3.50,7.6,100,212,280,34.3,3.5,651
D-9/5/91,E,57629,3.70,7.3,80,204,180,32.2,1.8,940
D-10/5/91,E,48110,1.00,7.7,179,340,150,53.3,,1509
D-12/5/91,E,59184,0.60,7.5,94,189,120,56.7,1.5,1200
D-13/5/91,E,47489,0.23,7.6,135,297,164,57.3,2.5,1000
D-14/5/91,E,35374,4.40,7.9,175,566,292,57.5,7.5,1268
D-15/5/91,E,33434,3.20,7.9,223,538,284,62.7,7.5,1425
D-16/5/91,E,31967,3.25,7.9,222,516,456,46.5,8.5,1335
D-17/5/91,E,32835,1.74,7.8,159,516,248,61.3,5.0,1405
D-19/5/91,E,33000,1.50,7.7,153,404,238,56.3,4.5,1049
D-20/5/91,E,47243,0.76,7.7,168,376,272,45.6,5.3,1052
D-21/5/91,E,40295,0.90,7.7,238,327,194,60.8,5.9,1725
D-22/5/91,E,38792,1.89,7.7,250,431,196,64.3,5.5,1219
D-23/5/91,E,36162,2.50,7.4,224,421,204,68.6,5.0,1328
D-24/5/91,E,36495,0.12,7.7,213,627,2008,17.9,,1257
D-26/5/91,E,36922,0.50,7.6,122,338,174,62.1,5.0,1035
D-27/5/91,E,43497,2.10,7.8,134,323,190,61.1,4.5,2070
D-28/5/91,E,38809,0.75,7.6,179,432,1228,22.8,36,1889
D-29/5/91,E,34301,3.90,7.9,243,459,286,54.5,6.5,1174
D-30/5/91,E,33968,1.50,7.7,198,546,308,62.3,13,1869
D-31/5/91,E,34094,0.99,7.8,156,483,964,23.7,18,2120
D-1/4/91,E,34573,0.71,7.7,156,276,146,71.2,3.3,1265
D-2/4/91,E,35395,0.56,7.8,273,473,210,73.3,4.5,1232
D-3/4/91,E,34525,0.77,7.8,312,576,224,67.9,5.5,1300
D-4/4/91,E,35861,0.76,8.1,242,492,176,75.0,5.5,1530
D-5/4/91,E,43082,0.68,7.8,173,496,178,66.3,4.5,1329
D-7/4/91,E,27931,2.20,7.5,296,455,278,78.4,4.3,1439
D-8/4/91,E,32954,0.70,7.7,269,423,192,67.7,6.0,1164
D-9/4/91,E,33773,4.07,7.9,233,506,222,72.1,4.5,1410
D-10/4/91,E,33666,2.70,7.6,237,494,204,71.6,5.5,1187
D-11/4/91,E,39715,0.60,7.8,241,539,212,70.8,5.5,1338
D-12/4/91,E,28923,0.70,7.2,133,467,186,65.6,,1398
D-14/4/91,E,32317,0.70,7.5,166,393,242,55.4,5.3,958
D-15/4/91,E,33090,0.40,7.9,205,453,198,70.7,5.0,1479
D-16/4/91,E,33371,0.82,7.8,290,448,218,66.9,5.5,1842
D-17/4/91,E,33813,2.85,7.7,212,468,224,66.1,4.5,1475
D-18/4/91,E,35456,6.36,8.1,184,412,216,62.0,5.0,1800
D-19/4/91,E,38045,9.60,8.1,177,428,220,61.8,4.5,1372
D-21/4/91,E,31191,1.98,7.9,270,321,168,66.7,4.0,1026
D-22/4/91,E,36215,6.45,7.5,161,392,266,48.1,6.0,1156
D-23/4/91,E,34719,9.00,7.7,173,388,322,50.3,5.5,1196
D-24/4/91,E,35729,2.90,7.7,334,841,616,59.7,14,1285
D-25/4/91,E,36395,6.50,7.7,183,449,380,52.6,6.5,1306
D-26/4/91,E,41503,8.70,7.5,133,346,274,46.0,,1186
D-28/4/91,E,27642,1.80,7.5,69,170,180,40.0,1.4,810
D-29/4/91,E,35760,1.77,7.6,115,295,182,51.6,25,1400
D-1/7/91,E,33416,1.73,7.4,167,333,242,66.1,4.5,1960
D-2/7/91,E,35518,4.20,7.8,133,105,208,54.8,3.5,1293
D-3/7/91,E,35623,4.40,7.6,151,404,204,67.6,3.5,1565
D-4/7/91,E,32815,6.60,7.8,151,485,198,71.7,3.5,1535
D-5/7/91,E,32454,3.42,7.4,148,545,202,72.3,,1337
D-7/7/91,E,26590,2.92,7.5,134,351,108,81.5,3.0,1135
D-8/7/91,E,33636,33.5,7.5,166,481,368,51.1,6.3,1355
D-9/7/91,E,32334,19.1,7.6,179,461,298,55.7,5.0,1340
D-10/7/91,E,35178,3.70,7.7,159,396,154,68.8,3.0,1440
D-11/7/91,E,,6.30,7.7,146,375,244,57.4,4.0,1413
D-12/7/91,E,,2.60,7.8,198,604,288,58.3,4.7,1235
D-14/7/91,E,,0.80,7.6,177,388,170,69.4,4.0,1147
D-15/7/91,E,,5.70,7.7,197,545,254,59.8,6.0,1202
D-16/7/91,E,,1.10,7.6,149,412,208,57.7,4.3,1593
D-17/7/91,E,,0.70,7.6,149,359,242,61.2,4.0,1315
D-18/7/91,E,,1.00,7.6,186,495,222,65.8,5.5,1518
D-19/7/91,E,,1.60,6.9,233,472,242,65.3,5.0,1183
D-21/7/91,E,,0.90,7.3,185,395,216,62.0,3.0,1367
D-22/7/91,E,,4.00,7.5,182,605,208,75.0,5.0,1672
D-23/7/91,E,,1.80,7.6,198,432,224,64.3,4.0,2150
D-24/7/91,E,,1.50,8.1,129,318,140,67.1,3.0,1319
D-25/7/91,E,,5.70,7.7,115,408,290,51.0,4.0,2150
D-26/7/91,E,,2.40,7.6,132,253,200,49.0,2.8,2110
D-28/7/91,E,,1.40,7.5,188,263,148,67.5,2.0,1645
D-29/7/91,E,,0.20,7.8,114,273,138,73.9,3.8,1870
D-30/7/91,E,,0.55,7.4,159,394,170,69.4,3.0,1450
D-31/7/91,E,,1.60,7.5,170,336,168,69.0,2.6,1531
D-2/6/91,E,32308,1.75,7.7,118,295,178,62.9,3.0,1459
D-3/6/91,E,31114,1.00,7.8,181,462,216,62.0,5.5,1315
D-4/6/91,E,31205,0.58,7.7,214,467,242,61.2,4.5,1171
D-5/6/91,E,35509,1.14,7.8,181,358,228,64.0,4.3,1224
D-6/6/91,E,34903,2.22,7.7,227,416,218,62.4,5.4,1335
D-7/6/91,E,34294,5.90,7.6,146,438,174,67.8,,1102
D-9/6/91,E,30614,0.92,7.7,146,313,168,64.3,4.3,1019
D-10/6/91,E,33239,2.50,7.8,217,591,264,66.7,7.5,1234
D-12/6/91,E,32100,1.50,7.5,277,523,324,67.9,7.0,1817
D-13/6/91,E,32538,1.00,7.6,219,511,286,58.0,6.5,1326
D-14/6/91,E,35571,1.75,7.2,166,549,138,63.8,,1769
D-16/6/91,E,33210,1.25,7.5,164,353,218,61.5,4.5,1535
D-17/6/91,E,34097,0.72,7.8,192,330,190,57.9,5.5,1775
D-18/6/91,E,31224,0.73,7.8,231,473,222,62.2,4.5,1309
D-19/6/91,E,35389,0.36,7.6,157,392,232,53.4,5.0,1565
D-20/6/91,E,36708,3.90,7.8,196,403,200,66.0,5.0,1592
D-21/6/91,E,33064,1.20,7.7,266,438,200,62.0,4.5,1396
D-24/6/91,E,31949,3.30,7.3,133,310,208,56.7,3.5,1134
D-25/6/91,E,35195,3.20,7.6,134,404,190,57.9,5.5,1305
D-26/6/91,E,34886,0.85,7.6,178,310,198,66.7,5.5,1560
D-27/6/91,E,33708,0.45,7.8,171,380,164,82.9,4.5,1565
D-28/6/91,E,32253,1.94,7.7,140,380,178,65.2,4.5,1668
D-30/6/91,E,29793,2.40,7.6,137,372,170,71.8,4.0,1704
D-1/10/91,E,32208,0.54,7.6,145,258,194,58.8,2.5,985
D-2/10/91,E,33649,1.44,7.5,147,351,230,47.0,3.5,1395
D-3/10/91,E,34536,0.47,7.6,133,316,188,61.7,2.5,1273
D-4/10/91,E,33178,1.40,7.6,155,392,182,64.8,4.5,1198
D-5/10/91,E,33695,1.10,7.3,133,520,,85.0,3.3,1258
D-6/10/91,E,30442,4.50,7.8,152,318,204,55.9,3.5,1615
D-8/10/91,E,29448,3.00,7.6,115,272,266,38.4,2.5,1418
D-9/10/91,E,33623,0.50,7.8,135,366,240,49.2,4.5,1344
D-11/10/91,E,30927,0.40,7.8,184,424,366,51.9,6.5,1365
D-12/10/91,E,34823,0.27,7.9,170,332,226,64.6,5.4,1219
D-13/10/91,E,34018,0.88,7.6,153,464,274,55.5,5.5,1149
D-15/10/91,E,42876,0.17,7.8,133,349,310,47.7,6.5,875
D-16/10/91,E,34820,0.25,8.1,185,439,256,56.3,7.5,2210
D-17/10/91,E,31780,0.14,7.7,175,457,262,60.3,4.5,1700
D-18/10/91,E,33370,0.12,7.8,223,511,202,63.4,4.7,1473
D-19/10/91,E,34408,0.25,8.0,174,442,268,57.5,5.7,1306
D-20/10/91,E,32720,1.59,7.8,235,489,252,65.1,4.5,2110
D-22/10/91,E,28707,0.40,7.8,117,296,142,71.8,3.0,1494
D-23/10/91,E,36182,,7.7,195,380,216,66.7,4.5,1542
D-24/10/91,E,34364,1.20,7.9,191,,184,73.9,6.5,1384
D-25/10/91,E,35400,0.70,7.6,156,364,194,63.9,5.5,1680
D-26/10/91,E,30964,3.30,7.7,220,540,184,62.0,3.5,1445
D-27/10/91,E,35573,7.30,7.6,176,333,178,64.0,3.5,1627
D-29/10/91,E,29801,1.60,7.7,172,400,136,70.1,1.5,1402
D-30/10/91,E,31524,1.60,7.9,,478,204,64.7,6.0,1798
D-1/8/91,E,29834,3.00,7.4,160,348,194,61.9,3.0,1720
D-2/8/91,E,28492,2.60,7.5,124,281,172,66.3,3.0,1520
D-4/8/91,E,24978,0.50,7.3,146,288,124,67.7,2.0,1210
D-5/8/91,E,29719,0.20,7.6,133,284,186,71.0,5.0,1114
D-6/8/91,E,29741,0.45,7.9,151,316,196,64.3,2.5,948
D-7/8/91,E,29027,0.40,7.6,136,328,186,67.7,3.0,899
D-8/8/91,E,30211,0.50,7.6,114,521,506,44.3,7.5,866
D-9/8/91,E,30848,0.20,7.7,142,376,144,70.8,3.0,940
D-11/8/91,E,17527,0.55,7.5,150,171,172,37.2,1.4,732
D-12/8/91,E,33331,0.23,7.6,92,233,234,37.6,1.4,829
D-13/8/91,E,27998,0.62,7.5,138,268,154,66.2,1.7,890
D-14/8/91,E,32845,0.23,7.6,84,251,98,71.4,2.0,866
D-16/8/91,E,27933,0.20,7.6,158,375,178,60.7,3.5,1049
D-18/8/91,E,27527,0.20,7.3,191,240,166,73.5,3.0,1072
D-19/8/91,E,32363,0.10,7.6,159,310,146,68.5,1.6,1096
D-20/8/91,E,31437,0.47,7.6,132,304,148,64.9,2.0,939
D-21/8/91,E,31914,2.00,7.7,127,274,144,72.2,2.0,1031
D-22/8/91,E,28088,0.20,7.5,153,307,124,82.3,2.5,1044
D-23/8/91,E,27838,0.13,7.6,179,265,128,71.9,1.8,992
D-25/8/91,E,29271,0.36,7.5,99,585,140,71.4,,962
D-26/8/91,E,32723,0.16,7.7,93,252,176,56.8,2.3,894
D-27/8/91,E,33535,0.32,7.8,192,346,172,68.6,4.0,988
D-28/8/91,E,32922,0.30,7.4,139,367,180,64.4,3.0,1060
D-29/8/91,E,32190,0.30,7.3,200,545,258,65.1,4.0,1260
D-30/8/91,E,30488,0.21,7.5,152,300,132,69.7,,1073
D-1/3/90,P,,,7.9,,,228,70.2,5.5,2120
D-2/3/90,P,,,7.7,,,244,75.4,7.7,2570
D-4/3/90,P,,,7.7,,,220,72.7,4.5,1594
D-5/3/90,P,,,7.8,236,,268,73.1,8.5,2280
D-6/3/90,P,,,7.9,,,236,57.6,4.5,2020
D-7/3/90,P,,,7.8,,,248,66.1,8.5,1762
D-8/3/90,P,,,7.8,,,320,67.5,6.5,1608
D-9/3/90,P,,,7.6,,,304,53.9,8.0,1557
D-11/3/90,P,,,7.7,206,,220,61.8,4.0,1219
D-12/3/90,P,,,7.8,208,,248,66.1,6.5,1929
D-13/3/90,P,,,8.1,173,,192,62.5,5.0,1406
D-14/3/90,P,,,7.6,170,,268,31.3,4.2,1204
D-15/3/90,P,,,7.9,148,,136,64.7,3.0,1208
D-16/3/90,P,,,7.8,231,,156,74.4,2.5,2540
D-18/3/90,P,,,7.6,162,,132,63.6,2.0,1324
D-19/3/90,P,,,7.7,164,,256,71.9,5.5,1599
D-20/3/90,P,,,7.4,275,,216,57.4,6.5,1501
D-21/3/90,P,,,7.7,,,288,65.3,6.0,1846
D-22/3/90,P,,,7.7,266,,240,70.0,5.0,1645
D-23/3/90,P,,,7.5,219,,248,58.1,5.5,1473
D-25/3/90,P,,,7.5,153,,184,67.4,4.0,1109
D-26/3/90,P,,,7.6,178,,184,71.7,3.5,1976
D-27/3/90,P,,,7.7,252,,308,49.4,6.5,2150
D-28/3/90,P,,,7.8,202,,272,72.1,6.0,1381
D-29/3/90,P,,,8.0,213,,240,61.7,6.0,2010
D-30/3/90,P,,,7.6,243,,272,64.7,7.5,1606
D-1/2/90,P,,,7.9,,,184,65.2,4.7,1380
D-2/2/90,P,,,7.8,132,,188,74.5,2.0,1139
D-4/2/90,P,,,7.6,220,,246,69.9,4.6,1057
D-5/2/90,P,,,8.1,,,200,72.0,5.5,1489
D-6/2/90,P,,,8.3,218,,212,66.0,10.5,1614
D-7/2/90,P,,,8.0,148,,156,74.4,4.0,1412
D-8/2/90,P,,,8.0,178,,188,70.2,5.5,1380
D-9/2/90,P,,,8.1,205,,188,68.1,5.5,1217
D-11/2/90,P,,,7.6,,,178,75.3,4.0,1149
D-12/2/90,P,,,7.9,,,218,71.6,6.0,1461
D-13/2/90,P,,,7.8,,,256,62.5,6.0,2450
D-14/2/90,P,,,8.1,,,304,65.8,8.5,1690
D-15/2/90,P,,,7.7,195,,236,74.6,7.0,1375
D-16/2/90,P,,,8.0,232,,252,77.8,8.0,1532
D-18/2/90,P,,,7.8,152,,162,76.5,3.0,1322
D-19/2/90,P,,,8.0,210,,208,71.2,4.5,1333
D-21/2/90,P,,,7.7,226,,356,71.9,4.5,1324
D-22/2/90,P,,,8.1,230,,248,66.1,7.5,1512
D-23/2/90,P,,,8.0,220,,224,69.6,6.0,1505
D-25/2/90,P,,,7.7,160,,188,68.1,4.5,1243
D-26/2/90,P,,,7.7,,,264,69.7,7.0,1469
D-27/2/90,P,,,8.1,,,232,74.1,5.5,1545
D-28/2/90,P,,,7.8,,,276,62.3,7.5,2390
D-1/1/90,P,,,7.5,,,188,55.3,3.0,972
D-2/1/90,P,,,7.9,,,192,70.8,4.5,1399
D-3/1/90,P,,,7.9,230,,202,71.3,4.0,1593
